finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop;Taux_cpx0;Taux_cpx1
250000270;25;539465;38.26;1;1;1;23;0.421052631578947;0.333333333333333;0.128;0.046875;0.0378149052104374;1;7;268;2.14;3.2;0;0;8;0;0;65;52;65;29;63;2;3;11.7687074829932;6.19319727891156;9359.37414965986;28.2;77.78
310780150;31;1390496;34.06;0;0;0;119;0.525;0.297872340425532;0.135922330097087;0.153621665468355;0.0803889234738033;1;28;435;3.51;4.27;0;0;0;0;0;52;36;48;24;52;126;71;23.7330049261084;14.3379310344828;32913.0246305419;40.8;70.83
310783048;31;1390496;34.06;0;0;0;62;0.567567567567568;0.328125;0.138613861386139;0.391993011505207;0.0688451675977476;1;36;487;3.33;4.22;0;0;0;0;0;45;45;45;34;45;6;10;21.9544117647059;13.15;15808.9754901961;38.87;51.85
330000340;33;1620243;37.61;1;1;0;39;0.420689655172414;0.144893111638955;0.102006688963211;0.0688170049440541;0.0529810679982379;1;20;43;3.52;4.04;0;0;0;0;0;47;43;33;21;46;4;3;17.8260869565217;13.4304347826087;19037.2173913043;38.46;76.92
330781360;33;1620243;37.61;1;1;1;38;0.564814814814815;0.160949868073879;0.109318996415771;0.406130627114234;0.0521396666820427;1;35;101;2.84;3.67;0;0;0;0;0;44;34;46;26;44;56;12;16.13;9.3475;30892.625;21.46;50
330782582;33;1620243;37.61;1;1;1;25;0.358823529411765;0.141203703703704;0.0966719492868463;0.0604826958105647;0.043273216691243;1;13;21;3.4;4.6;0;0;11;0;0;40;40;47;19;31;4;4;18.7266666666667;14.12;22060.8;14.73;100
340780634;34;1165412;40.13;0;0;0;38;0.403100775193798;0.220338983050847;0.0723226703755216;0.137496823186868;0.0406162631915685;1;18;38;5;5;0;0;0;0;0;30;22;32;25;15;37;20;18;27.55;126189.9;56.74;59.09
350000121;35;1076330;35.9;1;1;1;18;0.237113402061856;0.0819964349376114;0.100877192982456;0.224106280193237;0.040260995693195;1;14;45;2.95;3;0;0;0;0;0;38;23;31;20;38;35;11;10.6690476190476;7.77619047619048;30097.119047619;16.79;51.06
400780342;40;409325;46.7;0;0;0;11;0.224137931034483;0.110169491525424;0.171052631578947;0;0.054304570536947;1;5;25;3.95;3.5;0;0;0;0;0;30;28;30;34;28;0;1;19.3181818181818;18.9727272727273;17926.8636363636;37.93;NA
420010050;42;762222;41.29;0;0;0;84;0.245454545454545;0.182432432432432;0.143617021276596;0.0947056030389364;0.118733354856897;1;17;116;3;4.15;0;0;0;0;0;42;25;46;18;49;37;37;16.8585365853659;11.1341463414634;36158.9512195122;47.34;73.86
570001057;57;1036153;41.22;1;1;1;43;0.266233766233766;0.220430107526882;0.0274798927613941;0.0469512195121951;0.0293997720382022;1;13;77;2.56;3.95;0;0;0;0;0;43;35;36;35;61;0;1;13.4969696969697;6.04545454545455;18290.4090909091;17.3;29.37
590000618;59;2592185;35.32;1;1;1;62;0.343971631205674;0.10589519650655;0.0946341463414634;0.230173477725024;0.0611021787963228;1;29;111;3.52;4.52;0;0;0;0;0;25;15;28;14;28;5;8;15.1571428571429;10.7928571428571;14319.6428571429;38.21;64.94
590780383;59;2592185;35.32;0;0;0;31;0.329931972789116;0.117149758454106;0.0876242095754291;0.105487586393628;0.0122979820947373;1;17;145;4.5;4.75;0;0;0;0;0;20;20;19;10;13;85;18;12.575;13.9083333333333;144927.916666667;40.47;63.83
590781951;59;2592185;35.32;1;1;1;59;0.337979094076655;0.110102156640182;0.0911654135338346;0.0972214966027504;0.0177792957201307;1;24;28;4.56;4.56;0;0;0;0;0;19;18;19;12;19;87;24;12.8666666666667;14.8388888888889;102227.944444444;24.75;45.45
640780490;64;679354;44.79;0;1;0;14;0.042648709315376;0.0422691879866518;0.0424107142857143;0.0314553275079591;0.0276880467450902;1;10;7;5;5;0;0;0;0;0;12;17;17;17;12;3;1;30.98;31.24;37045.4;39.66;33.33
690780259;69;1882339;33.81;0;1;0;21;0.105719237435009;0.0915915915915916;0.0630165289256198;0.010331945879832;0.0133481407952067;1;11;37;3.35;3.25;0;0;0;0;0;32;32;32;31;49;12;8;13.165;9.52;26988.85;44.48;75
690780648;69;1882339;33.81;1;1;1;30;0.109318996415771;0.0947204968944099;0.0639412997903564;0.123988344126394;0.0254365730906908;1;21;44;3.08;3.44;0;0;0;0;0;40;32;36;21;60;9;8;12.6923076923077;7.26410256410256;21946.0769230769;17.31;33.33
690780655;69;1882339;33.81;0;1;0;13;0.0954616588419405;0.0813333333333333;0.0571696344892221;0.00011591323066732;0.0124174434942724;1;5;6;4;4.5;0;0;14;0;0;8;11;19;8;8;7;3;13.65;8.75;41173.5;46.67;83.33
710978347;71;549763;47.03;1;0;1;6;0.23841059602649;0.0837209302325581;0.160714285714286;0.0142857142857143;0.0234881497996153;0;3;21;2.57;3;5;0;37;0;5;35;20;52;20;35;2;2;17.1785714285714;5.06428571428571;14951.5;44.29;42.86
750000523;75;2140526;34.49;1;1;1;33;0.341317365269461;0.124183006535948;0.0718789407313997;0.108594470483568;0.0424801940875846;1;15;76;2.32;3.19;0;0;0;0;0;61;22;45;42;51;63;20;13.2320754716981;8.1622641509434;32149.6981132075;25.71;48.15
750100042;75;2140526;34.49;0;1;0;33;0.35625;0.121019108280255;0.0713391739674593;0.0692286949335822;0.0451136929469259;1;17;31;3.06;2.82;0;0;0;0;0;18;12;19;14;14;140;25;6.87058823529412;11.1235294117647;106361.411764706;45.67;50
750150104;75;2140526;34.49;0;0;0;21;0.387755102040816;0.132867132867133;0.0716981132075472;0.117591914490411;0.00996764219641066;1;16;82;2.5;2.83;0;0;0;0;0;27;27;35;14;27;72;24;7.82222222222222;7.21666666666667;46335.6944444444;28.11;36.07
750150237;75;2140526;34.49;1;1;0;77;0.385135135135135;0.122844827586207;0.0717884130982368;0.0907504489036444;0.0499364012027517;1;18;122;2.43;2.91;0;0;0;0;0;45;40;54;25;47;130;38;9.940625;6.66145833333333;31700.9166666667;26.77;60.87
750300493;75;2140526;34.49;0;1;0;40;0.295336787564767;0.115618661257606;0.0563241106719368;0;0.0313017184351697;1;7;119;3.04;3.92;0;0;0;0;0;95;75;95;84;95;105;30;28.3592233009709;13.2320388349515;72686.4757281553;22.14;38.71
800006124;80;569662;39.48;1;1;1;51;0.56;0.23728813559322;0.2;0.57010582010582;0.218291249358145;1;28;384;2.75;3.07;0;0;0;0;0;50;39;38;27;54;12;10;12.5225641025641;6.33076923076923;13806.7743589744;19.18;75
830100574;83;1075649;46.49;0;0;0;16;0.365384615384615;0.330434782608696;0.125827814569536;0.0282621479989901;0.0247964783030375;1;9;21;3.41;4.53;0;0;11;0;0;56;40;56;28;45;12;18;25.2411764705882;14.3176470588235;59591.0588235293;61.03;50
900000035;90;143104;39.38;1;0;1;13;0.6;0.5;0.6;0;0.302675946598922;1;4;173;2.14;3;0;0;7;0;0;34;25;31;18;34;3;4;9.62972972972973;4.0972972972973;16937.3918918919;36.52;61.54
920100013;92;1606088;32.71;0;1;0;36;0.510204081632653;0.158730158730159;0.193798449612403;0.432616963535331;0.0813063619334125;1;29;70;2.86;2.24;0;0;0;0;0;24;24;38;19;24;65;17;6.946;6.62;31712.76;30.47;36.36
940120017;94;1395209;33.13;0;1;0;9;0.204545454545455;0.106194690265487;0.125874125874126;0.034457671957672;0.0263807944453125;1;6;6;3;2.5;0;0;0;0;0;14;14;18;8;0;12;5;6.425;12.975;108646;43.79;60
950032714;95;1243921;31.53;1;1;1;4;0.31;0.151219512195122;0.191358024691358;0;0.0149128813041029;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.17;73.68
950807982;95;1243921;31.53;1;1;1;43;0.430555555555556;0.212328767123288;0.226277372262774;0.422329749103943;0.0932240651760904;1;20;49;2.97;2.94;0;0;0;0;0;23;16;24;20;18;11;5;8.21515151515151;6.84242424242424;32866.0909090909;28.5;0
